Date,Price,High,Low,Volume,Last Close,Change,Var%
2014-01-15,296.5,,,51750364.0,296.5,,
2014-01-16,290.45,,,57473882.0,290.45,,
2014-01-17,288.6,,,55125755.0,288.6,,
2014-01-20,282.8,,,41128171.0,282.8,,
2014-01-21,280.6,,,49841315.0,280.6,,
2014-01-22,278.2,,,39848583.0,278.2,,
2014-01-23,278.9,,,45275390.0,278.9,,
2014-01-24,272.25,,,69719926.0,272.25,,
2014-01-27,269.35,,,48280876.0,269.35,,
2014-01-28,273.3,,,36579109.0,273.3,,
2014-01-29,274.95,,,86781286.0,274.95,,
2014-01-30,275.05,,,35674610.0,275.05,,
2014-01-31,272.5,,,49336871.0,272.5,,
2014-02-03,265.7,,,45790537.0,265.7,,
2014-02-04,264.55,,,45494021.0,264.55,,
2014-02-05,264.95,,,36906857.0,264.95,,
2014-02-06,269.95,,,44868609.0,269.95,,
2014-02-07,271.7,,,39908014.0,271.7,,
2014-02-10,275.0,,,51673204.0,275.0,,
2014-02-11,264.7,,,162011356.0,264.7,,
2014-02-12,260.45,,,71755639.0,260.45,,
2014-02-13,256.4,260.87,251.1,107515456.0,256.4,4.05,
2014-02-14,253.0,258.72,252.8,61058330.0,253.0,3.4,
2014-02-17,261.85,262.47,252.95,40967232.0,256.05,5.8,
2014-02-18,255.4,261.95,254.75,33872900.0,261.3,5.9,
2014-02-19,254.95,256.28,252.5,26481281.0,255.8,0.85,
2014-02-20,258.2,258.8,256.0,28492071.0,255.25,2.95,
2014-02-21,258.65,260.35,256.2,25220842.0,258.0,0.65,
2014-02-24,257.9,259.9,254.0,27159581.0,259.0,1.1,
2014-02-25,253.2,260.48,251.8,37658001.0,257.9,4.7,
2014-02-26,254.4,254.6,249.6,39501086.0,253.15,1.25,
2014-02-27,251.8,255.0,251.25,44497828.0,253.9,2.1,
2014-02-28,247.7,250.34,245.05,45586732.0,252.1,4.4,
2014-03-03,253.05,254.25,249.05,34108117.0,247.85,5.2,
2014-03-04,251.75,254.0,250.4,24729787.0,252.95,1.2,
2014-03-05,253.2,256.29,252.6,20146921.0,252.25,0.95,
2014-03-06,248.2,254.5,247.3,42808552.0,253.3,5.1,
2014-03-07,241.7,248.36,240.7,53654636.0,248.35,6.65,
2014-03-10,236.35,243.15,233.65,76525633.0,242.0,5.65,
2014-03-11,234.05,237.1,230.35,52061653.0,236.15,2.1,
2014-03-12,236.0,240.35,234.95,53447258.0,233.75,2.25,
2014-03-13,230.2,238.65,228.29,59696234.0,235.65,5.45,
