Date,Open,High,Low,Close,Volume
2013-11-12,257.05,258.65,254.0,256.8,22573149
2013-11-13,255.5,255.5,247.85,249.5,49645772
2013-11-14,252.95,254.4,248.5,250.0,30425784
2013-11-15,250.9,252.75,248.55,249.45,27864789
2013-11-18,249.4,252.6,248.65,251.4,21849051
2013-11-19,249.6,251.7,249.1,250.8,21980167
2013-11-20,251.0,254.6,250.0,252.6,27834950
2013-11-21,252.55,258.0,251.05,257.1,31017359
2013-11-22,258.1,260.15,255.9,256.95,24076226
2013-11-25,258.0,260.3,257.6,259.1,28080794
2013-11-26,259.3,262.45,259.05,260.8,33215137
2013-11-27,260.5,263.7,260.25,262.5,19272746
2013-11-28,263.0,268.5,262.8,265.6,37681486
2013-11-29,266.15,274.8,265.9,271.79,61119786
2013-12-02,272.85,274.6,269.7,270.25,32523086
2013-12-03,269.35,270.0,265.75,266.2,38386726
2013-12-04,266.9,267.55,258.85,262.8,33433926
2013-12-05,263.65,266.45,260.55,262.35,25178105
2013-12-06,263.8,267.3,261.15,265.65,22517615
